employee_id,first_name,last_name,email,phone_number,hire_date,department,job_title,years_of_experience,education_level,city,state,salary
10000,Dylan,Boone,dylan.boone89@cannon.com,459-509-4954x415,2024-03-19,Engineering,Engineering Manager,2,PhD,Kennethview,NJ,220006.56
10001,Jeffrey,Wood,jeffrey.wood59@lewis.com,815-840-2161x79322,2019-02-14,IT,Cybersecurity Analyst,6,PhD,Davilahaven,WV,298462.64
10002,Luis,Riddle,luis.riddle6@wilson-graves.com,(670)582-6701x5483,2024-05-14,Marketing,Content Creator,3,PhD,North Brittanymouth,WI,229250.02
10003,Eric,Mahoney,eric.mahoney52@bass-zuniga.com,609-817-5881x113,2019-10-28,IT,Network Administrator,6,Master's Degree,East Amyfort,OR,223459.55
10004,Rebecca,Roberson,rebecca.roberson51@murphy.info,404-527-9526x977,2012-04-06,IT,System Administrator,14,PhD,South Jill,MN,387774.17
10005,Renee,Mcmillan,renee.mcmillan92@nelson.biz,406-558-1273,2008-07-17,Engineering,QA Engineer,18,Bachelor's Degree,Hendersonside,OH,241995.35
10006,Alexandria,Keller,alexandria.keller39@blair.com,615-721-9291,2006-09-10,Operations,Logistics Coordinator,19,Associate's Degree,South Jocelyn,RI,180597.95
10007,Jenna,Gaines,jenna.gaines90@marshall-farmer.com,001-753-754-1635x3547,2008-07-10,Finance,Financial Analyst,19,Associate's Degree,West Miranda,FM,159069.43
10008,Maria,Wolfe,maria.wolfe75@jones.com,(309)970-6710x16964,2014-02-19,Customer Support,Customer Support Rep,11,PhD,Howellburgh,NM,207528.99
10009,Joshua,Walters,joshua.walters73@orozco.com,612-934-0107,2020-09-28,Sales,Sales Manager,2,Bachelor's Degree,North William,WI,137565.35
10010,Laura,Alexander,laura.alexander80@booth.net,(627)396-2995x69097,2019-01-13,Marketing,Marketing Manager,4,Bachelor's Degree,New Jamesstad,WV,166374.12
10011,Gina,Williams,gina.williams30@peterson.com,+1-885-439-2100x812,2018-05-01,Research & Development,Research Scientist,7,Associate's Degree,New Nathanhaven,VT,98193.99
10012,Micheal,Gutierrez,micheal.gutierrez2@hooper.biz,001-552-701-2116x626,2025-03-07,IT,System Administrator,0,High School,Lake Ashley,MA,117727.59
10013,Ian,Luna,ian.luna38@allison-williams.org,854.574.0566,2019-08-11,Human Resources,HR Manager,6,PhD,Henryside,HI,180026.47
10014,Cheyenne,Garcia,cheyenne.garcia31@tyler-smith.com,+1-716-559-6325x5002,2022-08-02,Marketing,Marketing Specialist,1,PhD,Saraborough,SC,148842.34
10015,Gregory,Baker,gregory.baker29@johnson-bean.biz,417.215.0826x1456,2020-07-30,Research & Development,Research Scientist,3,Bachelor's Degree,Ericmouth,IN,143934.6
10016,Gabriella,Hendricks,gabriella.hendricks46@shepard.com,+1-840-226-1771,2020-07-01,Research & Development,Data Scientist,5,Bachelor's Degree,Gonzalesport,ME,211742.71
10017,Darryl,Mitchell,darryl.mitchell7@padilla.com,924.904.2515x240,2005-10-06,Sales,Account Manager,19,Associate's Degree,Rachelberg,IA,84120.28
10018,Christopher,Calderon,christopher.calderon53@brown.net,5706449316,2017-01-28,Legal,Paralegal,7,Associate's Degree,Paulberg,VA,116277.5
10019,Claire,Reid,claire.reid32@blankenship.info,486-668-8677,2016-10-08,Customer Support,Customer Support Rep,6,PhD,Port Allenton,MI,112549.61
10020,Jacob,Proctor,jacob.proctor31@robles.com,371-577-4996x7825,2012-08-12,Research & Development,Data Scientist,14,Master's Degree,Lewisview,CA,371996.93
10021,Matthew,Wood,matthew.wood80@huff.com,(857)674-1980x094,2008-05-22,IT,IT Support Specialist,18,High School,Melissaborough,NJ,78865.78
10022,Aaron,Robinson,aaron.robinson52@parks.com,(852)372-3180,2009-12-01,Marketing,Marketing Specialist,13,Bachelor's Degree,Shieldschester,OH,207563.99
10023,Chad,Mueller,chad.mueller11@martin.org,(721)849-7570,2020-03-20,Sales,Account Manager,4,Master's Degree,Hernandezshire,AZ,106282.17
10024,Johnny,Lewis,johnny.lewis12@walsh.com,001-893-830-6260,2007-06-24,Marketing,Marketing Specialist,20,High School,Amyhaven,FM,71103.15
10025,Sandra,Garcia,sandra.garcia55@reed.com,(940)673-6693,2017-03-03,Sales,Business Development Rep,10,Associate's Degree,South Johnchester,VI,63751.41
10026,Michael,Williams,michael.williams79@pratt.com,641-455-7871,2011-11-24,Finance,Accountant,14,Master's Degree,North Jasonmouth,MD,146369.88
10027,Jason,Moody,jason.moody17@mcknight.com,201.651.3433,2023-01-31,Marketing,Marketing Manager,1,Master's Degree,East Ralph,GA,260285.97
10028,Kyle,Strickland,kyle.strickland92@thomas.org,848-714-4363x10802,2017-01-06,Operations,Logistics Coordinator,8,High School,West Samantha,AS,103419.26
10029,Jeanne,Valencia,jeanne.valencia64@hayden.net,+1-866-999-8691x533,2008-04-03,Operations,Logistics Coordinator,18,Associate's Degree,Moonton,DE,95586.19
10030,Kenneth,Jones,kenneth.jones28@cole-allen.com,+1-927-872-6015x86986,2011-03-15,Human Resources,HR Manager,16,Bachelor's Degree,Jessicabury,CA,138481.1
10031,James,Adams,james.adams83@jones.info,(323)962-8015,2018-02-13,Engineering,Senior Software Engineer,9,High School,South Michael,TX,155029.85
10032,Bailey,Richardson,bailey.richardson20@henderson-chapman.org,331-775-0084x1585,2013-11-06,Sales,Sales Representative,13,Bachelor's Degree,Jamesview,ID,144867.11
10033,Catherine,West,catherine.west27@lee.com,313.247.7216,2022-05-23,Research & Development,Data Scientist,2,PhD,Ramirezbury,AZ,374152.52
10034,Melinda,Griffin,melinda.griffin18@white-carroll.net,(225)640-4349,2024-02-07,Finance,Auditor,0,High School,New Johnnyfort,FL,94783.83
10035,Julia,Johnson,julia.johnson84@lopez.info,495.836.3112x70904,2012-06-09,Sales,Business Development Rep,14,PhD,Bartontown,VI,169414.56
10036,Victor,Perez,victor.perez36@acosta.com,755.875.8895x307,2014-11-15,Operations,Operations Manager,8,High School,Williamsfort,DE,170142.99
10037,Victoria,Sutton,victoria.sutton52@brown.org,(729)327-9013,2008-11-27,Marketing,Marketing Specialist,16,PhD,East Meganport,MH,147300.8
10038,Edward,King,edward.king89@dennis.com,727.359.7525,2013-06-29,Marketing,Marketing Manager,13,High School,Brettshire,MN,195079.56
10039,Dawn,Fletcher,dawn.fletcher60@sanchez.biz,(423)658-2773x481,2006-11-21,Sales,Business Development Rep,20,PhD,West Ashley,WV,196403.67
10040,Kayla,Bell,kayla.bell93@weiss-davis.com,691.973.0632x3365,2022-07-14,Operations,Operations Manager,2,High School,New Mary,LA,112188.27
10041,Mitchell,Gibbs,mitchell.gibbs44@massey.com,292-407-2935x8011,2017-07-25,Marketing,Marketing Manager,9,Bachelor's Degree,Carolynborough,GU,222981.55
10042,Dawn,Dunn,dawn.dunn31@luna.com,9824624911,2015-11-28,Customer Support,Customer Support Rep,11,PhD,Lake Coleshire,WI,184336.94
10043,Franklin,Wright,franklin.wright6@vazquez.com,818.522.8641x12900,2016-12-12,Human Resources,Recruiter,7,Bachelor's Degree,Jacobland,MA,142274.61
10044,Renee,Wright,renee.wright29@pace.com,(655)285-0609x9745,2013-12-17,Customer Support,Customer Success Manager,9,PhD,Bellmouth,CA,193068.33
10045,David,Cantrell,david.cantrell66@whitaker-estrada.org,(356)725-9977,2017-09-13,Legal,Legal Counsel,9,Bachelor's Degree,Terrellland,WI,247183.19
10046,Laurie,White,laurie.white37@lee.biz,+1-886-517-1596,2008-08-13,Sales,Sales Representative,14,High School,Lake Carolynmouth,MD,151523.71
10047,Alan,Perez,alan.perez85@johnson-jackson.info,(901)657-6818x24807,2019-01-09,Customer Support,Customer Support Rep,8,PhD,Stevensburgh,MP,202573.06
10048,Kevin,Mclaughlin,kevin.mclaughlin14@hall.com,698.658.3089x73075,2006-06-23,Sales,Sales Manager,19,Master's Degree,Davisberg,IA,272579.87
10049,Sharon,Kline,sharon.kline73@mathews-cruz.com,861-230-1496x921,2011-08-10,Finance,Auditor,14,Bachelor's Degree,Kimberlyhaven,OK,129394.31
10050,Henry,Melton,henry.melton82@reed.com,8347761482,2018-03-01,Finance,Accountant,8,Bachelor's Degree,Johnsonfurt,VI,165164.52
10051,Matthew,Acosta,matthew.acosta15@garza.net,001-275-827-0974x846,2013-03-13,Operations,Supply Chain Analyst,11,PhD,East Corey,WA,172665.79
10052,Jennifer,Gomez,jennifer.gomez91@howell.com,(356)742-1113x3598,2013-07-06,Marketing,Content Creator,14,Associate's Degree,Cherylchester,VA,78583.95
10053,Cynthia,Guerrero,cynthia.guerrero62@green-frank.com,(460)650-4337x555,2020-04-01,Finance,Auditor,3,High School,North Jasonside,IN,55787.19
10054,Helen,Wright,helen.wright17@bailey.biz,+1-236-309-7298,2022-02-09,Legal,Paralegal,4,Associate's Degree,New Daniel,WV,85908.18
10055,Barbara,Norman,barbara.norman24@mills.com,218.842.2026,2014-10-20,Marketing,Marketing Specialist,12,Bachelor's Degree,Thompsonberg,GU,151308.26
10056,Regina,Larson,regina.larson29@davis-austin.com,001-823-717-4324x1944,2011-04-10,Marketing,Marketing Manager,15,High School,Lake Luis,KS,83255.73
10057,Robin,Le,robin.le18@marshall-shepherd.org,403-975-4284x11567,2016-02-02,Sales,Sales Manager,9,Associate's Degree,Michaeltown,PR,160501.87
10058,Nicholas,King,nicholas.king55@jones.biz,9045553724,2009-10-19,Research & Development,Research Scientist,14,Master's Degree,Russellborough,AS,243853.22
